学号	大学英语（一） [4]	大学英语（三） [2]	大学英语（四） [2]	大学英语（二） [2]	微积分 [3]	线性代数 [3]	概率统计 [3]	普通物理学（三） [4]	普通物理实验 [1]	无机及分析化学 [4]	无机及分析化学实验 [1.5]	有机化学 [4]	有机化学实验 [1]	计算机信息技术Ⅰ [3]	C语言程序设计 [4]	生物信息学导论 [3]	数据库系统原理及实验 [3]	普通生物学（一） [3]	JAVA程序设计 [4]	Matlab与R语言 [2.5]	细胞生物学（三） [3]	生物化学（四） [5]	分子生物学（二） [2]	基础生物学实验（二） [2]
1	79	74	83	82	67	73	78	67	86	45	85	32	84	60	71	66	74	60	48	74	62	62	80	78
2	63	70	64	70	69	60	32	63	87	72	78	51	83	61	77	65	79	63	53	25	50	46	57	86
3	80	72	76	82	64	79	64	61	91	62	87	41	85	60	74	63	83	65	56	51	63	64	52	87
4	67	71	72	67	51	60	38	72	85	34	86	42	87	46	62	59	64	57	57	34	66	62	60	80
5	75	76	84	73	71	72	61	65	86	74	85	71	89	62	68	61	85	69	58	86	71	69	80	92
6	78	81	82	85	82	74	65	69	79	76	85	73	86	67	66	64	78	69	62	76	70	69	76	92
7	66	69	69	76	54	49	67	70	90	64	88	69	87	60	66	65	78	50	63	76	68	75	65	86
8	84	74	80	79	85	86	70	81	88	91	88	68	87	70	73	65	80	70	67	72	71	76	85	96
9	69	72	47	77	74	61	77	84	87	83	88	60	86	65	83	74	75	66	68	86	65	64	64	85
10	70	76	82	80	80	84	74	94	91	88	88	82	85	70	75	64	86	78	68	69	69	77	87	97
11	86	78	93	86	85	89	79	87	88	88	88	79	85	76	82	73	88	77	69	82	86	85	86	98
12	79	71	77	75	63	73	83	69	89	66	86	77	86	60	81	72	86	75	70	95	79	77	86	99
13	66	64	58	75	60	72	53	60	91	79	85	63	86	72	82	59	69	57	71	35	62	44	43	85
14	71	71	81	80	54	39	60	73	86	75	88	60	87	68	67	47	83	56	74	60	68	80	82	92
15	82	76	80	86	82	77	68	73	89	75	87	60	88	67	75	77	86	69	75	79	79	76	71	94
16	75	80	76	82	75	78	72	84	92	84	88	77	88	72	79	80	83	73	76	62	69	76	72	95
17	74	65	62	70	67	75	77	72	80	67	90	82	89	64	80	71	84	69	80	80	75	79	88	84
18	80	74	80	75	70	64	76	83	85	65	84	79	89	60	73	70	78	63	81	96	83	71	91	95
19	64	68	71	70	70	80	66	64	90	65	88	67	88	69	85	71	87	68	82	88	63	67	73	97
20	77	76	80	80	66	90	78	67	84	79	87	64	87	74	85	72	73	70	83	75	58	71	77	89
21	69	69	83	75	82	81	91	63	92	65	85	65	89	66	87	72	89	61	83	72	80	73	90	94
22	79	73	76	83	90	84	86	80	89	80	87	78	91	65	77	73	89	76	83	80	88	78	91	95
23	79	84	87	81	89	88	82	86	88	74	85	79	88	68	87	67	90	70	85	84	92	80	84	97
24	73	75	84	83	66	60	79	70	88	70	85	73	88	69	90	81	78	69	86	64	82	79	88	91
25	85	76	81	79	73	60	70	82	87	75	86	66	89	70	86	71	81	64	89	76	81	76	56	87
26	96	91	87	95	89	80	81	96	88	91	89	77	89	60	90	91	87	77	89	92	98	88	93	99
27	79	73	74	78	85	89	82	89	87	88	87	82	89	74	97	80	85	79	90	90	96	82	90	95
28	95	91	89	91	93	89	92	96	89	92	86	97	87	72	98	86	88	82	93	92	97	91	92	98
29	82	78	80	88	69	82	83	77	88	83	82	75	86	88	94	72	92	77	94	91	77	79	79	94
30	87	77	79	80	85	82	90	91	91	80	86	86	88	67	87	79	90	71	94	91	89	71	84	92
