Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0030054~cell junction	55	9.35374149659864	3.459071005818722E-19	KCNC3, SRCIN1, SYT2, CLSTN1, GABBR1, GRIK5, SYT9, SYNGR1, SYP, ATP2B2, PRRT2, GRIN2C, HOMER3, DLG4, CDK16, SCAMP5, SVOP, BCR, PTPRR, BSN, MINK1, CBLN3, CBLN1, VAMP2, UNC13C, FAIM2, UNC13A, PRKCZ, ACHE, BRSK1, RIMS1, RIMS4, SYN1, ATN1, ARHGAP44, LRFN1, GABRD, PARD6A, DLGAP3, GABRA6, SYT12, NLGN2, SLC6A17, GRIA4, IGSF9B, KCNK1, SHANK3, SLC17A7, NMT1, MAP1S, GTF2F1, CYFIP2, SPTBN2, TPRG1L, ADGRL1	516	459	18224	4.231983921906402	1.4458916804322259E-16	1.4458916804322259E-16	4.855629628220974E-16
GOTERM_BP_DIRECT	GO:0007269~neurotransmitter secretion	15	2.5510204081632653	1.0735300741654967E-10	PPFIA3, RAB3A, PPFIA4, CPLX1, NRXN2, NRXN3, SYT2, STXBP1, BRSK1, RIMS1, GRM4, SYN1, DNAJC5, VAMP2, UNC13A	484	51	16792	10.204180845892076	1.9559717490125195E-7	1.9559717490125195E-7	1.8256504086267E-7
GOTERM_CC_DIRECT	GO:0048786~presynaptic active zone	12	2.0408163265306123	1.8023114399542936E-10	SYP, SLC17A7, PPFIA3, PPFIA4, SYN1, BSN, SV2A, UNC13C, ADORA1, RIMS1, RIMS4, UNC13A	516	29	18224	14.614274258219726	7.533662349512582E-8	3.7668312469207876E-8	2.529973452958245E-7
GOTERM_BP_DIRECT	GO:0007268~chemical synaptic transmission	29	4.931972789115646	3.246741650341233E-10	KCNC4, SCN1B, CPLX1, SNCB, SYN1, GRIN2C, SLC1A6, LRFN1, DLG4, APBA2, KCNQ2, NPFF, GABRD, GPR176, SCN2B, NRXN2, SLC12A5, ASIC2, MINK1, BSN, PRKCG, GRIA4, GRM1, GRM4, CBLN1, CACNA1G, RIT2, UNC13C, UNC13A	484	240	16792	4.192217630853994	5.915561746006048E-7	2.9577813098757844E-7	5.521424095711325E-7
GOTERM_CC_DIRECT	GO:0014069~postsynaptic density	25	4.2517006802721085	4.5277490354923833E-10	ALS2, BCR, DLGAP3, SRCIN1, CLSTN3, BAIAP2, CLSTN1, GRIK5, BSN, MINK1, PRKCG, IGSF9B, GRM1, ADORA1, SHANK3, PPP1R9B, SYN1, GRIN2C, PTK2B, ARRB1, HOMER3, MAPT, LRFN1, DLG4, ADD2	516	184	18224	4.7986181327940685	1.892599023056718E-7	6.308663813570092E-8	6.355774018196314E-7
GOTERM_CC_DIRECT	GO:0045211~postsynaptic membrane	26	4.421768707482993	1.5220146809849632E-9	SRCIN1, CLSTN3, CLSTN1, GRIK5, GABBR1, ADORA1, ANK1, HOMER3, GRIN2C, LRFN1, DLG4, IQSEC3, GABRD, BCR, DLGAP3, COL13A1, GABRA6, NLGN2, MINK1, GRIA4, IGSF9B, SHANK3, CBLN1, ARRB1, APBB1, FAIM2	516	211	18224	4.351960027921672	6.362019580041789E-7	1.5905052741516101E-7	2.1365099911463403E-6
GOTERM_BP_DIRECT	GO:0016079~synaptic vesicle exocytosis	10	1.7006802721088436	4.461899138214426E-9	RAB3A, CPLX2, CPLX1, PIP5K1C, DNAJC5, ADGRL1, VAMP2, UNC13C, RIMS1, UNC13A	484	22	16792	15.77009767092412	8.129547285462557E-6	2.70985643846533E-6	7.587926198482364E-6
GOTERM_CC_DIRECT	GO:0043195~terminal bouton	14	2.380952380952381	1.4777338514701062E-8	SYP, RAB3A, CPLX2, CPLX1, SYN1, PVALB, GRIK5, STXBP1, DNAJC5, SV2A, UNC13C, SYNGR1, ADORA1, UNC13A	516	62	18224	7.974993748437109	6.176908446398066E-6	1.2353847416157748E-6	2.074351045378009E-5
GOTERM_CC_DIRECT	GO:0008021~synaptic vesicle	16	2.7210884353741496	4.2345994622345E-8	SYP, RAB3A, SVOP, SYN1, SYT2, DLG4, APBA2, DNAJC5, TPRG1L, SLC6A17, SV2A, BRSK1, VAMP2, CDK16, STX1B, DNM1	516	92	18224	6.142231209976408	1.770046946225623E-5	2.9501000013976153E-6	5.94426679656479E-5
GOTERM_BP_DIRECT	GO:0048172~regulation of short-term neuronal synaptic plasticity	8	1.3605442176870748	4.495010759644805E-8	SYP, SHISA6, RAB3A, PPFIA3, SHISA8, SLC8A2, SYNGR1, UNC13A	484	14	16792	19.825265643447462	8.189574431405333E-5	2.0474564881634016E-5	7.644233425141422E-5
